id,name,currentCategory,currentCalories,currentProtein,currentFat,currentCarbs,recommendedCalories,recommendedProtein,recommendedFat,recommendedCarbs,recommendedCategory,recommendedMealTimeTags,recommendedMealRoles,recommendedGoalTags,recommendedCookingMethod,recommendedPortionType,servingNote,manualReviewNote
17,Bò kho,"Món nước, Kho",287,19.6,12,35.1,560,30,20,60,"Món nước, Kho",BREAKFAST|LUNCH|DINNER,MAIN|STAPLE,MAINTENANCE|WEIGHT_GAIN,SOUP,FULL_MEAL,1 tô vừa kèm bánh mì hoặc bún ít.,
18,Cà ri gà,Món nước,368,31.5,6,65.5,620,30,28,58,Món nước,LUNCH|DINNER,MAIN|STAPLE,MAINTENANCE|WEIGHT_GAIN,SOUP,FULL_MEAL,"1 phần vừa, có khoai và nước cốt dừa.",
19,Lẩu Thái,"Món nước, Lẩu",437,29,8.9,28.7,520,35,16,50,Món nước,LUNCH|DINNER,MAIN|SOUP,MAINTENANCE|MUSCLE_GAIN,SOUP,FULL_MEAL,"1 khẩu phần cá nhân, tính kèm ít bún.",
20,Bánh bột lọc,"Ăn nhẹ, Món khô",446,33.2,13,36.6,360,12,8,62,Ăn nhẹ,SNACK|BREAKFAST,SNACK|STAPLE,MAINTENANCE,STEAMED,LIGHT,"8-10 cái vừa, ít nước mắm.",
21,Bánh bèo,Món nước,539,31.5,13.7,42.9,380,12,10,60,Ăn nhẹ,BREAKFAST|SNACK,STAPLE|SNACK,MAINTENANCE,STEAMED,LIGHT,1 phần 8-10 chén nhỏ.,
22,Bánh ướt,Món khô,482,17,19.6,37,420,15,10,68,Món khô,BREAKFAST,STAPLE|MAIN,MAINTENANCE,STEAMED,FULL_MEAL,1 phần vừa kèm chả.,
23,Bánh hỏi,Bánh,477,26.3,17.7,46.5,460,18,12,70,Bánh,BREAKFAST|LUNCH,STAPLE|MAIN,MAINTENANCE,STEAMED,FULL_MEAL,1 phần vừa kèm thịt/rau.,
24,Bún mắm,Bún,467,22.4,23.3,56.2,620,32,20,76,Bún,LUNCH,MAIN|STAPLE,MAINTENANCE|WEIGHT_GAIN,SOUP,FULL_MEAL,"1 tô vừa, mặn cao nên hạn chế.",
25,Bún đậu mắm tôm,Bún,520,7.4,8.1,48.5,720,28,34,72,Bún,LUNCH|DINNER,MAIN|STAPLE,WEIGHT_GAIN|MAINTENANCE,FRIED,FULL_MEAL,"1 mẹt cá nhân, đậu chiên và mắm tôm.",
26,Nem chua,Nem,321,16.4,9.6,50.2,180,14,9,10,Ăn nhẹ,SNACK,SNACK,MAINTENANCE,RAW,LIGHT,"2-3 cái nhỏ, natri cao.",
27,Chè,Chè,263,21,11.9,52,320,5,8,58,Tráng miệng,SNACK,DESSERT,WEIGHT_GAIN|MAINTENANCE,RAW,LIGHT,"1 ly/chén vừa, đường cao.",
28,Sữa chua,"Sữa chua, Tráng miệng",218,12.4,7.8,10.8,120,6,3,17,Tráng miệng,SNACK|DESSERT,SNACK|DESSERT,WEIGHT_LOSS|MAINTENANCE|MUSCLE_GAIN,RAW,LIGHT,"1 hũ 100-120g, ít đường.",
29,Trái cây dĩa,Tráng miệng,381,16.2,20.3,64.6,180,2,1,42,Tráng miệng,SNACK|DESSERT,DESSERT|SNACK,WEIGHT_LOSS|MAINTENANCE,RAW,LIGHT,1 dĩa 200g trái cây tươi.,
30,Cà phê sữa đá,Đồ uống,267,16.6,12.4,59.5,160,3,4,28,Đồ uống,BREAKFAST|SNACK,DRINK,MAINTENANCE,RAW,LIGHT,"1 ly vừa, sữa đặc vừa.",
32,Phở gà,Phở,236,16.8,7.6,24.4,470,28,10,62,Phở,BREAKFAST|LUNCH,MAIN|STAPLE,WEIGHT_LOSS|MAINTENANCE|MUSCLE_GAIN,SOUP,FULL_MEAL,"1 tô vừa, gà bỏ da.",
35,Bánh mì trứng,Bánh mì,320,24,13,40,430,20,18,52,Bánh mì,BREAKFAST,MAIN|STAPLE,MAINTENANCE|WEIGHT_GAIN,FRIED,FULL_MEAL,"1 ổ + 1-2 trứng, ít sốt.",
36,Bánh mì gà nướng,Bánh mì,348,26.4,14.8,45.2,480,28,16,56,Bánh mì,BREAKFAST|LUNCH,MAIN|STAPLE,MAINTENANCE|WEIGHT_GAIN,GRILLED,FULL_MEAL,1 ổ với 100g gà nướng.,
37,Cơm ,Cơm,130,2.7,0.8,48,200,4,0.5,45,Cơm,LUNCH|DINNER,STAPLE,WEIGHT_LOSS|MAINTENANCE|WEIGHT_GAIN|MUSCLE_GAIN,STEAMED,COMPONENT,150g cơm trắng chín.,
38,Cơm gà luộc,Cơm,404,31.2,4,55.6,580,36,12,78,Cơm,LUNCH|DINNER,MAIN|STAPLE,WEIGHT_LOSS|MAINTENANCE|MUSCLE_GAIN,BOILED,FULL_MEAL,150g cơm + 120g gà luộc bỏ da + rau.,
39,Cơm gà nướng,"Cơm, Nướng",432,12,5.8,60.8,700,35,24,82,Cơm,LUNCH|DINNER,MAIN|STAPLE,MAINTENANCE|WEIGHT_GAIN|MUSCLE_GAIN,GRILLED,FULL_MEAL,150g cơm + 120g gà nướng có ướp/sốt.,
40,Cơm thịt bò xào,"Cơm, Xào",460,14.4,7.6,66,680,34,24,78,Cơm,LUNCH|DINNER,MAIN|STAPLE,MAINTENANCE|WEIGHT_GAIN,STIR_FRIED,FULL_MEAL,150g cơm + 120g bò xào rau.,
41,Canh chua cá,Canh,488,16.8,9.4,14,220,24,6,18,Canh,LUNCH|DINNER,SOUP|SIDE,WEIGHT_LOSS|MAINTENANCE,SOUP,COMPONENT,1 tô canh cá 300ml.,
42,Canh bí đỏ,Canh,516,19.2,11.2,19.2,160,6,4,26,Canh,LUNCH|DINNER,SOUP|SIDE,WEIGHT_LOSS|MAINTENANCE,SOUP,COMPONENT,"1 tô 300ml, bí đỏ và ít thịt/tôm.",
43,Canh cải xanh,Canh,544,21.6,13,24.4,90,6,2,12,Canh,LUNCH|DINNER,SOUP|SIDE,WEIGHT_LOSS|MAINTENANCE,SOUP,COMPONENT,1 tô rau cải 300ml.,
44,Gà áp chảo,Xào,572,24,14.8,29.6,320,36,18,2,Xào,LUNCH|DINNER,MAIN,WEIGHT_LOSS|MAINTENANCE|MUSCLE_GAIN,STIR_FRIED,COMPONENT,"120g thịt gà áp chảo, ít dầu.",
45,Gà hấp gừng,Hấp,600,26.4,16.6,34.8,240,34,8,3,Hấp,LUNCH|DINNER,MAIN,WEIGHT_LOSS|MAINTENANCE|MUSCLE_GAIN,STEAMED,COMPONENT,120g gà bỏ da hấp gừng.,
46,Salad ức gà,Rau,628,28.8,4,40,360,36,12,24,Rau,LUNCH|DINNER,MAIN|SIDE,WEIGHT_LOSS|MAINTENANCE|MUSCLE_GAIN,RAW,FULL_MEAL,120g ức gà + rau + ít sốt.,
47,Salad cá ngừ,Rau,656,31.2,5.8,45.2,390,32,16,26,Rau,LUNCH|DINNER,MAIN|SIDE,WEIGHT_LOSS|MAINTENANCE|MUSCLE_GAIN,RAW,FULL_MEAL,"Cá ngừ + rau + ít sốt, 1 tô lớn.",
48,Sữa chua yến mạch,"Tráng miệng, Ăn nhẹ, Bổ Dưỡng",684,12,7.6,50.4,260,12,6,42,Tráng miệng,BREAKFAST|SNACK,SNACK|DESSERT,WEIGHT_LOSS|MAINTENANCE,RAW,LIGHT,Sữa chua 120g + yến mạch 35g.,
49,Cháo yến mạch,"Cháo, Bổ dưỡng",180,14.4,9.4,55.6,300,14,8,44,"Cháo, Bổ dưỡng",BREAKFAST|DINNER,MAIN|STAPLE,WEIGHT_LOSS|MAINTENANCE,SOUP,FULL_MEAL,"Yến mạch 50g nấu cháo, thêm đạm nhẹ.",
50,Khoai lang luộc,"Luộc, Chay",208,16.8,11.2,60.8,180,3,0.3,41,Ăn nhẹ,BREAKFAST|SNACK,STAPLE|SNACK,WEIGHT_LOSS|MAINTENANCE,BOILED,COMPONENT,200g khoai lang luộc.,
51,Khoai tây nướng,"Nướng, Chay",236,19.2,13,66,210,5,4,40,"Nướng, Chay",LUNCH|DINNER|SNACK,STAPLE|SIDE,MAINTENANCE,GRILLED,COMPONENT,200g khoai tây nướng ít dầu.,
52,Cơm gạo lứt cá hồi,"Cơm, Giảm cân",264,21.6,14.8,14,620,35,22,68,Cơm,LUNCH|DINNER,MAIN|STAPLE,MAINTENANCE|MUSCLE_GAIN,GRILLED,FULL_MEAL,150g gạo lứt + 120g cá hồi + rau.,
53,Cơm gạo lứt ứt gà,"Cơm, Giảm cân",292,24,16.6,19.2,540,38,10,68,Cơm,LUNCH|DINNER,MAIN|STAPLE,WEIGHT_LOSS|MAINTENANCE|MUSCLE_GAIN,BOILED,FULL_MEAL,Tên DB có thể sai chính tả: cơm gạo lứt ức gà.,
54,Miến gà,Miến,320,26.4,4,24.4,430,27,8,62,Mì/Miến/Nui,BREAKFAST|LUNCH|DINNER,MAIN|STAPLE,WEIGHT_LOSS|MAINTENANCE,SOUP,FULL_MEAL,1 tô miến gà vừa.,
55,Hủ tiếu nam vang,Hủ tiếu,348,28.8,5.8,29.6,560,30,16,72,Hủ tiếu,BREAKFAST|LUNCH,MAIN|STAPLE,MAINTENANCE,SOUP,FULL_MEAL,1 tô vừa có tôm/thịt.,
57,Bún cá,Bún,404,12,9.4,40,480,30,10,66,Bún,BREAKFAST|LUNCH,MAIN|STAPLE,WEIGHT_LOSS|MAINTENANCE,SOUP,FULL_MEAL,1 tô bún cá vừa.,
60,Mì xào hải sản,Xào,488,19.2,14.8,55.6,680,32,24,82,Mì/Miến/Nui,LUNCH|DINNER,MAIN|STAPLE,MAINTENANCE|WEIGHT_GAIN,STIR_FRIED,FULL_MEAL,"1 đĩa mì xào, dầu mức vừa.",
61,Cá thu kho,Kho,516,21.6,16.6,60.8,310,28,18,8,Kho,LUNCH|DINNER,MAIN,MAINTENANCE|MUSCLE_GAIN,BRAISED,COMPONENT,"120g cá thu kho, chưa tính cơm.",
63,Tôm hấp,Hấp,572,26.4,5.8,14,140,28,2,2,Hấp,LUNCH|DINNER,MAIN,WEIGHT_LOSS|MAINTENANCE|MUSCLE_GAIN,STEAMED,COMPONENT,150g tôm hấp.,
64,Tôm xào bông cải,Xào,600,28.8,7.6,19.2,260,28,10,16,Xào,LUNCH|DINNER,MAIN|SIDE,WEIGHT_LOSS|MAINTENANCE|MUSCLE_GAIN,STIR_FRIED,COMPONENT,"120g tôm + 200g bông cải, ít dầu.",
65,Thịt heo luộc,Luộc,628,31.2,9.4,24.4,330,26,24,0,Luộc,LUNCH|DINNER,MAIN,MAINTENANCE,BOILED,COMPONENT,120g thịt heo luộc nạc vừa.,
66,Thịt bò nướng,Nướng,656,12,11.2,29.6,340,34,20,4,Nướng,LUNCH|DINNER,MAIN,MAINTENANCE|MUSCLE_GAIN,GRILLED,COMPONENT,120g bò nướng.,
67,Đậu hũ sốt cà chua,"Chay, Giảm cân",684,14.4,13,34.8,260,16,16,16,"Chay, Giảm cân",LUNCH|DINNER,MAIN|SIDE,WEIGHT_LOSS|MAINTENANCE,BRAISED,COMPONENT,180g đậu hũ sốt cà chua.,
68,Đậu hũ xào nấm,"Đạm, Chay, Xào",180,16.8,14.8,40,280,18,17,14,"Đạm, Chay, Xào",LUNCH|DINNER,MAIN|SIDE,WEIGHT_LOSS|MAINTENANCE,STIR_FRIED,COMPONENT,"Đậu hũ + nấm, ít dầu.",
69,Rau muốn xào tỏi,"Chay, Xào, Rau",208,19.2,16.6,45.2,160,5,10,14,"Chay, Xào, Rau",LUNCH|DINNER,SIDE,WEIGHT_LOSS|MAINTENANCE,STIR_FRIED,COMPONENT,"200g rau muống xào tỏi, ít dầu.",
70,Rau cải luộc,"Rau, Chay, Giảm Cân",236,21.6,4,50.4,60,4,0.5,10,"Rau, Chay, Giảm Cân",LUNCH|DINNER,SIDE,WEIGHT_LOSS|MAINTENANCE,BOILED,COMPONENT,200g rau cải luộc.,
71,Bông cải hấp,"Rau, Chay, Giảm Cân",264,24,5.8,55.6,80,6,0.5,14,"Rau, Chay, Giảm Cân",LUNCH|DINNER,SIDE,WEIGHT_LOSS|MAINTENANCE,STEAMED,COMPONENT,200g bông cải hấp.,
72,Trứng ốp la,"Ăn nhẹ, Giảm cân",292,26.4,7.6,60.8,180,13,14,1,"Ăn nhẹ, Giảm cân",BREAKFAST|LUNCH,MAIN,MAINTENANCE|MUSCLE_GAIN,FRIED,COMPONENT,2 trứng ốp la ít dầu.,
73,Trứng cuộn rau,"Rau, Ăn nhẹ, Giảm cân",320,28.8,9.4,66,220,16,15,6,"Rau, Ăn nhẹ, Giảm cân",BREAKFAST|LUNCH|DINNER,MAIN,WEIGHT_LOSS|MAINTENANCE|MUSCLE_GAIN,FRIED,COMPONENT,"2 trứng + rau, ít dầu.",
74,Sữa chua hạt chia,"Món uống, Tráng miệng, Giảm cân",348,31.2,11.2,14,180,9,7,20,Tráng miệng,SNACK|DESSERT,SNACK|DESSERT,WEIGHT_LOSS|MAINTENANCE,RAW,LIGHT,Sữa chua 120g + 10g chia.,
75,Sinh tố bơ,"Chay, Ăn nhẹ, Tráng Miệng",376,12,13,19.2,320,5,20,34,Đồ uống,SNACK,DRINK|DESSERT,WEIGHT_GAIN|MAINTENANCE,RAW,LIGHT,"1 ly vừa, hạn chế sữa đặc.",
76,Sinh tố chuối,"Chay, Ăn nhẹ, Tráng miệng",404,14.4,14.8,24.4,240,8,5,44,Đồ uống,BREAKFAST|SNACK,DRINK|SNACK,MAINTENANCE|WEIGHT_GAIN,RAW,LIGHT,1 ly chuối + sữa không đường.,
77,Cháo gà rau củ,"Cháo, Tăng cân",432,16.8,16.6,29.6,360,24,8,50,"Cháo, Tăng cân",BREAKFAST|DINNER,MAIN|STAPLE,WEIGHT_LOSS|MAINTENANCE,SOUP,FULL_MEAL,1 tô cháo gà rau củ.,
78,Súp bí đỏ,"Chay, Súp",460,19.2,4,34.8,220,8,7,32,Món nước,BREAKFAST|DINNER|SNACK,SOUP|SIDE,WEIGHT_LOSS|MAINTENANCE,SOUP,LIGHT,1 tô súp bí đỏ 300ml.,
79,Súp rau củ,"Súp, Giảm cân",488,21.6,5.8,40,180,7,5,28,Món nước,DINNER|SNACK,SOUP|SIDE,WEIGHT_LOSS|MAINTENANCE,SOUP,LIGHT,1 tô súp rau củ 300ml.,
82,Gỏi cuốn tôm thịt,"Cuốn, Gỏi",572,28.8,11.2,55.6,300,18,8,38,Ăn nhẹ,SNACK|LUNCH|DINNER,SNACK|SIDE,WEIGHT_LOSS|MAINTENANCE,RAW,LIGHT,3 cuốn tôm thịt.,
83,Gỏi gà bắp cải,"Gỏi, Rau. Giảm cân",600,31.2,13,60.8,280,28,10,18,"Gỏi, Rau. Giảm cân",LUNCH|DINNER,MAIN|SIDE,WEIGHT_LOSS|MAINTENANCE|MUSCLE_GAIN,RAW,FULL_MEAL,120g gà xé + bắp cải + ít sốt.,
84,Cá kho tộ,"Kho, Tăng cân",628,12,14.8,66,330,28,18,10,"Kho, Tăng cân",LUNCH|DINNER,MAIN,MAINTENANCE|MUSCLE_GAIN,BRAISED,COMPONENT,"120g cá kho, chưa tính cơm.",
85,Thịt kho tiêu,Kho,656,14.4,16.6,14,420,24,32,8,Kho,LUNCH|DINNER,MAIN,MAINTENANCE|WEIGHT_GAIN,BRAISED,COMPONENT,"120g thịt kho tiêu, béo cao.",
86,Bò lúc lắc,Tăng cân,684,16.8,4,19.2,420,32,24,18,Tăng cân,LUNCH|DINNER,MAIN,MAINTENANCE|MUSCLE_GAIN,STIR_FRIED,COMPONENT,"120g bò + rau/củ, chưa tính cơm.",
87,Cơm chiên dương châu,"Cơm, Chiên, Tăng cân",180,19.2,5.8,24.4,680,22,24,92,Cơm,LUNCH|DINNER,MAIN|STAPLE,WEIGHT_GAIN|MAINTENANCE,FRIED,FULL_MEAL,"1 đĩa cơm chiên vừa, dầu cao.",
88,Cơm chiên cá mặn,"Cơm, Chiên, Tăng cân",208,21.6,7.6,29.6,720,24,26,96,Cơm,LUNCH|DINNER,MAIN|STAPLE,WEIGHT_GAIN|MAINTENANCE,FRIED,FULL_MEAL,"1 đĩa vừa, natri cao.",
91,Bún mọc,"Bún, Món nước",292,28.8,13,45.2,500,25,14,68,Bún,BREAKFAST|LUNCH,MAIN|STAPLE,MAINTENANCE,SOUP,FULL_MEAL,1 tô bún mọc vừa.,
92,Bún gà nấm,"Bún, Món nước",320,31.2,14.8,50.4,480,28,10,66,Bún,BREAKFAST|LUNCH|DINNER,MAIN|STAPLE,WEIGHT_LOSS|MAINTENANCE,SOUP,FULL_MEAL,1 tô vừa.,
93,Bún chay,"Chay, Món khô",348,12,16.6,55.6,420,16,10,68,Bún,BREAKFAST|LUNCH|DINNER,MAIN|STAPLE,WEIGHT_LOSS|MAINTENANCE,SOUP,FULL_MEAL,"1 tô bún chay vừa, có đậu hũ.",
94,Cơm cháy kho quẹt,"Cơm, Tăng cân",376,14.4,4,60.8,650,14,30,84,Cơm,SNACK|LUNCH,SNACK|STAPLE,WEIGHT_GAIN|MAINTENANCE,FRIED,LIGHT,"1 phần vừa, dầu/mỡ và natri cao.",
95,Cá ngừ kho dưa,"Kho, Giảm cân",404,16.8,5.8,66,300,32,12,14,"Kho, Giảm cân",LUNCH|DINNER,MAIN,WEIGHT_LOSS|MAINTENANCE|MUSCLE_GAIN,BRAISED,COMPONENT,120g cá ngừ kho dưa.,
96,Gà xào sả ớt,"Xào, Tăng cân",432,19.2,7.6,14,350,32,20,8,"Xào, Tăng cân",LUNCH|DINNER,MAIN,MAINTENANCE|MUSCLE_GAIN,STIR_FRIED,COMPONENT,"120g gà xào, ít dầu.",
97,Bò xào cần tây,"Xào, Giảm cân",460,21.6,9.4,19.2,330,32,18,12,"Xào, Giảm cân",LUNCH|DINNER,MAIN|SIDE,WEIGHT_LOSS|MAINTENANCE|MUSCLE_GAIN,STIR_FRIED,COMPONENT,120g bò + cần tây.,
98,Thịt băm sốt đậu,Tăng cân,488,24,11.2,24.4,420,28,26,16,Tăng cân,LUNCH|DINNER,MAIN,MAINTENANCE|WEIGHT_GAIN,BRAISED,COMPONENT,"Thịt băm + đậu hũ, 1 phần vừa.",
99,Lẩu nấm chay,"Lẩu, Món nước, Chay",516,26.4,13,29.6,360,18,10,50,Món nước,LUNCH|DINNER,MAIN|SOUP,WEIGHT_LOSS|MAINTENANCE,SOUP,FULL_MEAL,"1 khẩu phần cá nhân, thêm ít bún.",
100,Lẩu gà lá é,"Lẩu, Món nước",544,28.8,14.8,34.8,540,35,18,56,Món nước,LUNCH|DINNER,MAIN|SOUP,MAINTENANCE|MUSCLE_GAIN,SOUP,FULL_MEAL,"1 khẩu phần cá nhân, tính ít bún.",
101,Lẩu hải sản,"Lẩu, Món nước",572,31.2,16.6,40,520,38,12,58,Món nước,LUNCH|DINNER,MAIN|SOUP,MAINTENANCE|MUSCLE_GAIN,SOUP,FULL_MEAL,1 khẩu phần cá nhân.,
102,Lẩu cá,"Lẩu, Món nước",600,12,4,45.2,480,34,10,58,Món nước,LUNCH|DINNER,MAIN|SOUP,WEIGHT_LOSS|MAINTENANCE|MUSCLE_GAIN,SOUP,FULL_MEAL,1 khẩu phần cá nhân.,
103,Mực hấp gừng,"Hấp, Giảm cân",628,14.4,5.8,50.4,170,30,3,4,"Hấp, Giảm cân",LUNCH|DINNER,MAIN,WEIGHT_LOSS|MAINTENANCE|MUSCLE_GAIN,STEAMED,COMPONENT,150g mực hấp.,
104,Mực xào cần,Xào,656,16.8,7.6,55.6,260,30,10,12,Xào,LUNCH|DINNER,MAIN|SIDE,WEIGHT_LOSS|MAINTENANCE|MUSCLE_GAIN,STIR_FRIED,COMPONENT,"150g mực + cần, ít dầu.",
105,Tôm rim,Rim,684,19.2,9.4,60.8,280,28,10,18,Rim,LUNCH|DINNER,MAIN,MAINTENANCE|MUSCLE_GAIN,BRAISED,COMPONENT,"150g tôm rim, có đường/nước mắm.",
106,Súp cua,Súp,180,21.6,11.2,66,230,18,6,28,Món nước,BREAKFAST|SNACK|DINNER,SOUP|SNACK,WEIGHT_LOSS|MAINTENANCE,SOUP,LIGHT,1 chén/tô nhỏ 300ml.,
107,Cháo tôm,Cháo,208,24,13,14,340,24,6,52,Cháo,BREAKFAST|DINNER,MAIN|STAPLE,WEIGHT_LOSS|MAINTENANCE,SOUP,FULL_MEAL,1 tô cháo tôm.,
108,Cháo cá hồi,"Cháo, Tăng cân",236,26.4,14.8,19.2,420,26,16,50,"Cháo, Tăng cân",BREAKFAST|DINNER,MAIN|STAPLE,MAINTENANCE|MUSCLE_GAIN,SOUP,FULL_MEAL,1 tô cháo cá hồi.,
109,Cơm rong biển cá hồi,"Giảm cân, Cơm",264,28.8,16.6,24.4,600,34,20,70,Cơm,LUNCH|DINNER,MAIN|STAPLE,MAINTENANCE|MUSCLE_GAIN,RAW,FULL_MEAL,Cơm 150g + cá hồi + rong biển.,
110,Cơm sườn nướng mật ong,"Cơm, Nướng, Tăng cân",292,31.2,4,29.6,780,32,32,88,Cơm,LUNCH|DINNER,MAIN|STAPLE,WEIGHT_GAIN|MAINTENANCE,GRILLED,FULL_MEAL,"Cơm + sườn nướng mật ong, đường/dầu cao.",
111,Mì trứng gà,Ăn nhanh,320,12,5.8,34.8,520,28,16,66,Mì/Miến/Nui,BREAKFAST|LUNCH,MAIN|STAPLE,MAINTENANCE,SOUP,FULL_MEAL,1 tô mì trứng gà.,
112,Mì xào bò,"Xào, Tăng cân",348,14.4,7.6,40,680,32,24,82,Mì/Miến/Nui,LUNCH|DINNER,MAIN|STAPLE,WEIGHT_GAIN|MAINTENANCE,STIR_FRIED,FULL_MEAL,1 đĩa mì xào bò.,
113,Phở xào bò,Xào,376,16.8,9.4,45.2,720,34,26,88,Xào,LUNCH|DINNER,MAIN|STAPLE,WEIGHT_GAIN|MAINTENANCE,STIR_FRIED,FULL_MEAL,"1 đĩa phở xào bò, dầu cao.",
114,Nui xào bò,Xào,404,19.2,11.2,50.4,690,34,24,84,Mì/Miến/Nui,LUNCH|DINNER,MAIN|STAPLE,WEIGHT_GAIN|MAINTENANCE,STIR_FRIED,FULL_MEAL,1 đĩa nui xào bò.,
115,Bánh đa cua,Món nước,432,21.6,13,55.6,540,26,16,72,Món nước,BREAKFAST|LUNCH,MAIN|STAPLE,MAINTENANCE,SOUP,FULL_MEAL,1 tô bánh đa cua.,
116,Bánh canh cua,Món nước,460,24,14.8,60.8,560,28,16,76,Món nước,BREAKFAST|LUNCH,MAIN|STAPLE,MAINTENANCE,SOUP,FULL_MEAL,1 tô bánh canh cua.,
117,Bánh canh giò heo,Món nước,488,26.4,16.6,66,720,28,34,72,Món nước,LUNCH|DINNER,MAIN|STAPLE,WEIGHT_GAIN|MAINTENANCE,SOUP,FULL_MEAL,"1 tô vừa, giò heo béo cao.",
118,Bánh canh gà,Món nước,516,28.8,4,14,520,28,12,74,Món nước,BREAKFAST|LUNCH,MAIN|STAPLE,MAINTENANCE,SOUP,FULL_MEAL,1 tô bánh canh gà.,
119,Xôi gà,"Xôi, Tăng cân",544,31.2,5.8,19.2,650,30,20,86,"Xôi, Tăng cân",BREAKFAST|LUNCH,MAIN|STAPLE,WEIGHT_GAIN|MAINTENANCE,STEAMED,FULL_MEAL,1 phần xôi gà vừa.,
